session,turn,time,pid,origin,trigger,text,audio_chunks,image_frames,scope,action,action_status,expression,reply,reply_mode,outputs,ingest_ms,commit_category_ready_ms,commit_performance_ready_ms,commit_body_scored_ms,commit_action_fused_ms,commit_action_ms,commit_expression_ms,commit_first_text_ms,commit_first_public_text_ms,commit_route_ms,commit_tts_queued_ms,commit_tts_append_ms,commit_tts_commit_ms,commit_tts_created_ms,commit_tts_pcm_ms,commit_audio_ms,commit_playable250_ms,commit_result_ms,commit_promotion_ms,commit_validation_ms,start_action_ms,start_expression_ms,start_audio_ms,start_result_ms,expr_hold_ms,body_to_action_ms,first_text_to_append_ms,append_to_commit_ms,commit_to_created_ms,created_to_pcm_ms,pcm_to_ws_ms,append_to_audio_ms,performance_to_append_ms,category_compute_ms,child_compute_ms,reply_prefix_wait_ms,reply_ttft_ms,reply_stream_duration_ms,reply_total_ms,reply_delta_count,reply_completion_tokens,route_compute_ms,validation_compute_ms,pure_reply_reported_generation_ms,action_label,expression_label
sess_dee23864,turn_0330526e_19,2026-09-12T18:45:34.979749+08:00,1515362,user,,看正面镜头,0,0,none,A138,supported,,Alright.,PURE_ACTION,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",1.799,334.055,414.081,582.996,583.29,583.531,,695.008,694.989,207.405,695.019,695.175,695.324,695.749,875.598,875.553,875.605,1027.755,583.441,694.859,585.33,,877.351,1029.554,,0.535,0.167,0.15,0.425,179.849,-0.045,180.378,281.094,332.665,248.687,0.0,694.629,0.255,1027.213,1,,206.899,95.496,819.835,看镜头,
sess_dee23864,turn_33a1e400_20,2026-09-12T18:46:06.017418+08:00,1515362,proactive,idle_timeout,,0,0,none,A189,supported,,I'm here whenever you'd like to continue the conversation.,,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",0.933,195.659,254.574,359.883,360.148,360.452,,194.118,360.344,,194.14,254.695,450.207,255.138,545.61,545.57,545.617,1972.651,360.361,,361.385,,546.504,1973.584,,0.569,60.577,195.512,-195.069,290.472,-0.039,290.875,0.121,194.662,164.075,0.0,193.706,256.024,1972.074,12,13,,,,轻微点头致意,
sess_dee23864,turn_8cb5e804_21,2026-09-12T18:46:15.247430+08:00,1515362,proactive,action_finished,,0,1,none,A132,supported,,,,"{""text"": ""suppressed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",1.715,1.103,114.386,,114.434,114.589,,,,,,,,,,,,114.773,,,116.304,,,116.488,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,微调坐姿,
sess_dee23864,turn_a9ea17c3_23,2026-09-12T18:50:35.333719+08:00,1515362,user,,你微笑一下,0,0,expression_only,expression_only,not_required,A154,Got it.,PURE_ACTION,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""completed"", ""action"": ""completed""}",0.935,573.257,457.212,1016.949,1017.269,1018.986,1018.933,573.069,1017.435,219.223,573.08,573.704,574.016,574.173,767.991,1017.982,768.015,1019.435,1018.817,572.891,1019.921,1019.867,1018.917,1020.37,561.72,2.037,0.635,0.312,0.156,193.819,249.991,444.278,116.491,398.367,443.479,173.403,572.664,446.012,1018.901,1,,218.708,91.477,548.886,expression_only,微笑
sess_dee23864,turn_6d3a0974_25,2026-09-12T18:51:05.607545+08:00,1515362,user,,你大笑一下,0,0,expression_only,A463,supported,A155,,PURE_ACTION,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""completed"", ""action"": ""completed""}",1.351,409.238,500.181,1135.77,1136.17,1136.453,1136.413,,,223.463,,,,,,,,1175.837,1136.326,,1137.804,1137.764,,1177.188,636.233,0.683,,,,,,,,407.834,726.243,0.0,1175.265,,1175.265,0,,222.941,,951.827,双手捂嘴笑,大笑
sess_dee23864,turn_977d3ee7_26,2026-09-12T18:51:13.999395+08:00,1515362,proactive,action_finished,,0,1,none,A123,supported,,,,"{""text"": ""suppressed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",1.708,1.171,120.891,,120.926,121.084,,,,,,,,,,,,121.265,,,122.792,,,122.973,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,重心左移,
sess_dee23864,turn_832d137b_27,2026-09-12T18:51:36.789121+08:00,1515362,proactive,idle_timeout,,0,0,none,A189,supported,,Feel free to jump in whenever you're ready.,,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",1.055,204.453,262.855,368.389,368.592,368.843,,202.644,368.749,,202.666,262.974,443.716,263.336,617.002,616.961,617.009,1534.15,368.764,,369.897,,618.015,1535.204,,0.453,60.33,180.742,-180.38,353.666,-0.041,353.987,0.119,203.449,163.788,0.0,202.232,241.009,1533.579,10,11,,,,轻微点头致意,
sess_dee23864,turn_40e4f637_28,2026-09-12T18:51:45.591112+08:00,1515362,proactive,action_finished,,0,0,none,A124,supported,,,,"{""text"": ""suppressed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",0.722,0.79,113.202,,113.238,113.387,,,,,,,,,,,,113.564,,,114.11,,,114.286,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,重心右移,
sess_dee23864,turn_8025de73_30,2026-09-12T18:52:51.480267+08:00,1515362,user,,你做个严肃的表情,0,0,expression_only,A153,supported,A156,Understood.,PURE_ACTION,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""completed"", ""action"": ""completed""}",1.346,396.225,477.915,881.147,881.441,881.731,881.69,997.168,997.149,213.547,997.179,997.352,997.507,997.83,1181.59,1181.551,1181.598,1317.349,881.598,997.028,883.077,883.036,1182.897,1318.695,403.776,0.584,0.185,0.155,0.323,183.76,-0.039,184.199,519.438,394.828,484.659,0.0,996.797,0.277,1316.781,1,,213.037,91.111,1103.261,皱眉,严肃
sess_dee23864,turn_6dd7b0de_31,2026-09-12T18:52:59.625697+08:00,1515362,proactive,action_finished,,0,0,none,A123,supported,,,,"{""text"": ""suppressed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",0.713,0.799,113.05,,113.086,113.26,,,,,,,,,,,,113.452,,,113.973,,,114.165,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,重心左移,
sess_dee23864,turn_b7316953_33,2026-09-12T18:53:21.893804+08:00,1515362,user,,你做个严肃的表情,0,0,expression_only,A153,supported,A156,Okay.,PURE_ACTION,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""completed"", ""action"": ""completed""}",0.891,347.158,425.959,836.481,836.814,837.131,837.088,946.272,946.252,217.849,946.283,946.453,946.605,946.954,1117.055,1117.001,1117.063,1250.637,836.994,946.119,838.022,837.98,1117.892,1251.528,411.129,0.65,0.181,0.152,0.349,170.101,-0.054,170.547,520.494,345.822,489.086,0.0,945.919,0.271,1250.092,1,,217.381,93.442,1032.237,皱眉,严肃
sess_dee23864,turn_c5d9c509_34,2026-09-12T18:53:29.992045+08:00,1515362,proactive,action_finished,,0,0,none,A124,supported,,,,"{""text"": ""suppressed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",0.689,0.809,112.48,,112.515,112.674,,,,,,,,,,,,112.857,,,113.363,,,113.545,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,重心右移,
sess_dee23864,turn_95e18fe7_36,2026-09-12T18:53:30.782997+08:00,1515362,user,,"""你扮个鬼脸 """,0,0,expression_only,A441,supported,A158,,PURE_ACTION,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""completed"", ""action"": ""completed""}",0.929,395.652,482.776,805.54,805.908,806.222,806.175,,,209.803,,,,,,,,838.035,806.074,,807.15,807.104,,838.963,323.399,0.682,,,,,,,,394.412,409.573,0.0,837.525,,837.525,0,,209.407,,627.668,俏皮（歪头眨眼轻颠跺脚）,扮鬼脸
sess_dee23864,turn_c0f42310_37,2026-09-12T18:53:38.851046+08:00,1515362,proactive,action_finished,,0,0,none,A132,supported,,,,"{""text"": ""suppressed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",0.768,0.808,117.234,,117.268,117.415,,,,,,,,,,,,117.589,,,118.182,,,118.356,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,微调坐姿,
sess_dee23864,turn_ef8431c5_39,2026-09-12T18:53:48.469708+08:00,1515362,user,,你做个害怕的表情,0,0,expression_only,A460,supported,A159,Okay.,PURE_ACTION,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""completed"", ""action"": ""completed""}",0.956,422.416,503.235,662.665,662.942,663.225,663.181,770.412,770.394,136.532,770.423,770.588,770.738,771.1,942.823,942.781,942.83,1074.822,663.088,770.281,664.181,664.137,943.736,1075.778,159.946,0.56,0.175,0.151,0.362,171.723,-0.042,172.193,267.352,420.925,240.0,0.0,770.046,0.263,1074.267,1,,135.988,91.162,937.756,双手抱头惊讶,害怕
sess_dee23864,turn_1436645e_40,2026-09-12T18:53:56.396295+08:00,1515362,proactive,action_finished,,0,0,none,A142,supported,,,,"{""text"": ""suppressed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",0.658,0.838,116.511,,116.546,116.705,,,,,,,,,,,,116.883,,,117.363,,,117.54,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,看下方,
sess_dee23864,turn_7a9f4961_41,2026-09-12T18:54:19.553097+08:00,1515362,proactive,idle_timeout,,0,0,none,A189,supported,,I'm here whenever you'd like to continue the conversation.,,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",0.876,199.877,260.149,365.227,365.414,365.675,,198.061,365.561,,198.083,260.268,455.314,260.658,539.251,539.216,539.258,1956.017,365.576,,366.551,,540.092,1956.893,,0.448,62.207,195.046,-194.655,278.593,-0.035,278.948,0.119,198.862,165.186,0.0,197.663,257.181,1955.455,12,13,,,,轻微点头致意,
sess_dee23864,turn_e4b97354_42,2026-09-12T18:54:28.774104+08:00,1515362,proactive,action_finished,,0,0,none,A124,supported,,,,"{""text"": ""suppressed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",0.645,0.869,115.82,,115.855,116.021,,,,,,,,,,,,116.202,,,116.667,,,116.848,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,重心右移,
sess_dee23864,turn_d5aad421_44,2026-09-12T18:56:31.734720+08:00,1515362,user,,你做个委屈的表情,0,0,expression_only,A444,supported,A160,Okay.,PURE_ACTION,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""completed"", ""action"": ""completed""}",1.434,410.076,496.02,902.896,903.52,904.042,903.968,1011.204,1011.18,223.538,1011.218,1011.454,1011.668,1012.082,1179.622,1179.564,1179.63,1313.177,903.79,1011.016,905.476,905.402,1180.998,1314.611,407.948,1.146,0.25,0.213,0.414,167.54,-0.057,168.11,515.434,408.507,492.411,0.0,1010.81,0.381,1312.6,1,,222.986,91.785,1088.967,娇羞（低头双手捂脸，身体左右轻晃）,委屈
sess_dee23864,turn_daf94346_45,2026-09-12T18:56:39.902892+08:00,1515362,proactive,action_finished,,0,0,none,A142,supported,,,,"{""text"": ""suppressed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",0.638,0.853,117.828,,117.859,118.006,,,,,,,,,,,,118.18,,,118.644,,,118.818,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,看下方,
sess_dee23864,turn_e1c2e883_46,2026-09-12T18:57:03.056644+08:00,1515362,proactive,idle_timeout,,0,0,none,A189,supported,,I'm here whenever you'd like to continue the conversation.,,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",0.865,200.195,259.931,365.581,365.79,366.044,,198.588,365.949,,198.609,260.057,455.901,260.503,539.874,539.84,539.882,1852.923,365.964,,366.91,,540.706,1853.789,,0.463,61.469,195.844,-195.397,279.371,-0.034,279.784,0.125,199.168,165.244,0.0,198.201,257.252,1852.371,12,13,,,,轻微点头致意,
sess_dee23864,turn_aeaa9107_47,2026-09-12T18:57:12.173623+08:00,1515362,proactive,action_finished,,0,0,none,A129,supported,,,,"{""text"": ""suppressed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",0.638,0.839,114.476,,114.51,114.659,,,,,,,,,,,,114.836,,,115.297,,,115.474,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,头部回正,
sess_dee23864,turn_7002c5a1_49,2026-09-12T18:57:49.176279+08:00,1515362,user,,你做个悲伤的表情,0,0,expression_only,A439,supported,A161,,PURE_ACTION,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""completed"", ""action"": ""completed""}",1.335,399.31,481.522,640.381,640.677,640.984,640.937,,,216.376,,,,,,,,758.553,640.839,,642.319,642.272,,759.888,159.415,0.603,,,,,,,,397.853,240.814,0.0,757.999,,757.999,0,,215.834,,541.617,遗憾（低头，双手自然垂下，或单手缓缓拍一下自己的额头，随后轻轻摇头）,悲伤
sess_dee23864,turn_3b51644a_50,2026-09-12T18:57:57.083311+08:00,1515362,proactive,action_finished,,0,0,none,A123,supported,,,,"{""text"": ""suppressed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",0.698,0.856,111.901,,111.934,112.085,,,,,,,,,,,,112.261,,,112.783,,,112.959,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,重心左移,
sess_dee23864,turn_dbadcc3c_52,2026-09-12T18:58:09.076488+08:00,1515362,user,,你做个疑惑的表情你表示一下疑惑,0,0,expression_only,A153,supported,A162,,PURE_ACTION,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""completed"", ""action"": ""completed""}",1.502,400.077,484.763,890.85,891.14,891.424,891.383,,,209.691,,,,,,,,923.694,891.288,,892.926,892.884,,925.196,406.62,0.574,,,,,,,,398.686,490.528,0.0,923.151,,923.151,0,,209.189,,713.48,皱眉,疑惑
sess_dee23864,turn_5fe2ba5f_53,2026-09-12T18:58:17.229817+08:00,1515362,proactive,action_finished,,0,0,none,A357,supported,,,,"{""text"": ""suppressed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",0.74,0.791,113.362,,113.395,113.556,,,,,,,,,,,,113.735,,,114.296,,,114.475,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,单手手指并拢,
sess_dee23864,turn_0186e791_55,2026-09-12T18:58:26.820004+08:00,1515362,user,,你做个悲伤的表情,0,0,expression_only,A439,supported,A161,Okay.,PURE_ACTION,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""completed"", ""action"": ""completed""}",0.853,351.149,434.881,599.84,600.121,600.406,600.364,708.152,708.135,218.603,708.163,708.334,708.484,709.178,888.362,888.315,888.369,1026.109,600.267,708.01,601.259,601.217,889.168,1026.962,165.483,0.566,0.181,0.15,0.694,179.184,-0.046,179.982,273.453,349.707,248.437,0.0,707.786,0.271,1025.555,1,,218.063,91.802,806.959,遗憾（低头，双手自然垂下，或单手缓缓拍一下自己的额头，随后轻轻摇头）,悲伤
sess_dee23864,turn_f2259566_56,2026-09-12T18:58:34.681454+08:00,1515362,proactive,action_finished,,0,0,none,A366,supported,,,,"{""text"": ""suppressed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",0.659,0.847,113.546,,113.579,113.748,,,,,,,,,,,,113.927,,,114.407,,,114.586,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,手指交握,
sess_dee23864,turn_c17c14ad_58,2026-09-12T18:58:44.789245+08:00,1515362,user,,你做个装可怜的表情,0,0,expression_only,A442,supported,A164,Okay.,PURE_ACTION,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""completed"", ""action"": ""completed""}",0.9,401.167,492.658,817.53,817.903,818.204,818.165,925.816,925.799,214.869,925.827,925.988,926.139,926.509,1093.911,1093.874,1093.918,1228.861,818.065,925.674,819.105,819.065,1094.774,1229.761,325.506,0.674,0.171,0.152,0.37,167.401,-0.037,167.886,433.33,399.787,416.033,0.0,925.457,0.261,1228.312,1,,214.372,91.893,1013.454,卖萌（双手猫爪托腮歪头）,装可怜（低头咬唇抬眼）
sess_dee23864,turn_c5d6db9f_59,2026-09-12T18:58:52.868838+08:00,1515362,proactive,action_finished,,0,0,none,A124,supported,,,,"{""text"": ""suppressed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",0.672,0.825,114.26,,114.294,114.442,,,,,,,,,,,,114.619,,,115.113,,,115.291,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,重心右移,
sess_dee23864,turn_d0380939_60,2026-09-12T18:59:16.026489+08:00,1515362,proactive,idle_timeout,,0,0,none,A189,supported,,I'm here whenever you'd like to continue the conversation.,,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",1.06,207.219,273.956,383.125,383.315,383.547,,205.212,383.457,,205.235,274.071,473.874,274.465,559.047,559.009,559.055,1840.944,383.471,,384.607,,560.069,1842.004,,0.422,68.858,199.803,-199.409,284.582,-0.039,284.938,0.114,206.146,175.755,0.0,204.799,268.591,1840.369,12,13,,,,轻微点头致意,
sess_dee23864,turn_337d2f9b_62,2026-09-12T18:59:21.558794+08:00,1515362,user,,向左弯腰,0,0,body_only,A174,supported,,Okay.,PURE_ACTION,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",1.006,400.051,483.015,892.499,892.839,893.097,,1005.219,1005.2,218.709,1005.23,1005.414,1005.571,1005.922,1169.808,1169.77,1169.815,1171.318,893.008,1005.05,894.104,,1170.776,1172.324,,0.598,0.195,0.157,0.351,163.886,-0.038,164.356,522.4,398.468,492.185,0.0,1004.82,0.287,1170.764,1,,218.137,95.863,952.057,上身左倾,
sess_dee23864,turn_0f4569ba_63,2026-09-12T18:59:29.715197+08:00,1515362,proactive,action_finished,,0,0,none,A129,supported,,,,"{""text"": ""suppressed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",0.683,0.857,122.338,,122.374,122.533,,,,,,,,,,,,122.72,,,123.215,,,123.403,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,头部回正,
sess_dee23864,turn_7d9ce243_65,2026-09-12T18:59:40.293506+08:00,1515362,user,,向左弯腰,0,0,body_only,A174,supported,,Okay.,PURE_ACTION,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",2.127,354.391,431.467,717.712,717.95,718.179,,829.515,829.497,213.517,829.526,829.684,829.831,830.205,1006.667,1006.63,1006.674,1145.455,718.1,829.388,720.306,,1008.758,1147.582,,0.467,0.169,0.147,0.374,176.462,-0.036,176.947,398.217,352.946,363.107,0.0,829.162,0.256,1144.917,1,,212.978,95.01,931.416,上身左倾,
sess_dee23864,turn_438eb4ea_66,2026-09-12T18:59:48.277505+08:00,1515362,proactive,action_finished,,0,0,none,A124,supported,,,,"{""text"": ""suppressed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",0.856,0.861,116.674,,116.711,116.872,,,,,,,,,,,,117.055,,,117.728,,,117.911,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,重心右移,
sess_dee23864,turn_3b6e1778_67,2026-09-12T19:00:11.447842+08:00,1515362,proactive,idle_timeout,,0,0,none,A189,supported,,Feel free to jump in whenever you're ready.,,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",0.901,207.011,273.454,385.355,385.552,385.81,,205.275,385.711,,205.297,273.58,461.598,273.977,644.092,644.054,644.1,1450.397,385.727,,386.711,,644.955,1451.298,,0.455,68.305,188.018,-187.621,370.115,-0.037,370.474,0.126,205.958,178.171,0.0,204.865,256.258,1449.838,10,11,,,,轻微点头致意,
sess_dee23864,turn_358d5122_68,2026-09-12T19:00:20.166670+08:00,1515362,proactive,action_finished,,0,0,none,A366,supported,,,,"{""text"": ""suppressed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",0.673,0.889,123.756,,123.79,123.948,,,,,,,,,,,,124.126,,,124.621,,,124.8,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,手指交握,
sess_939ac65d,turn_ee39cf59_1,2026-09-12T19:14:17.976095+08:00,1643329,proactive,session_enter,,0,0,none,A288,supported,,Hey there—welcome. What’s on your mind today?,,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",9.118,467.948,530.513,663.808,664.024,664.309,,466.323,664.194,,466.351,530.667,752.241,530.902,849.304,849.268,849.311,1944.661,664.21,,673.426,,858.386,1953.779,,0.501,64.344,221.574,-221.34,318.403,-0.036,318.601,0.153,466.873,195.625,0.0,465.855,285.845,1944.122,12,13,,,,单手挥手,
